Language,Title,Short description,Full description
nl-NL,Ray Player: Slimme IPTV Player,"Snelle M3U & Xtream IPTV-speler. 4K-streaming voor Android TV, Box & Mobiel!","Ray Player: Slimme IPTV & M3U Mediaspeler is een krachtige speler voor Android TV, Google TV, TV Boxen, smartphones en tablets.

Ondersteunt M3U, M3U8, Xtream Codes API en XMLTV EPG in vloeiende 4K/HDR-kwaliteit.

🚫 BELANGRIJK: De app bevat GEEN kanalen of media-inhoud.

✨ VOORDELEN:
• 🚀 Direct zappen & geoptimaliseerd voor afstandsbedieningen (D-Pad).
• 🎨 TV Lite-modus voor TV-boxen met 1–2 GB RAM.
• 🧠 Ray AI aanbevelingen en trending films.
• ⚔️ Dubbele engine: ExoPlayer & MPV Player.
• ☁️ Google Cloud back-up en synchronisatie.
• 👨‍👩‍👧‍👦 Multi-profielen & Ouderlijk toezicht met PIN.
• 🛰️ 24-uurs EPG-gids & sportevenementen.
• 🎛️ Picture-in-Picture (PiP) en achtergrondaudio."
fr-FR,Ray Player: Lecteur IPTV Smart,"Lecteur IPTV M3U & Xtream rapide. Streaming 4K pour Android TV, Box & Mobile!","Ray Player: Lecteur IPTV & M3U Smart est un lecteur multimédia haute performance pour Android TV, Google TV, TV Box, smartphones et tablettes.

Support complet pour M3U, M3U8, Xtream Codes API et XMLTV EPG en qualité 4K/HDR fluide.

🚫 IMPORTANT : L'application ne fournit AUCUN contenu ni chaîne.

✨ FONCTIONNALITÉS PRINCIPALES :
• 🚀 Zapping Instantané : Optimisé pour télécommandes TV (D-Pad).
• 🎨 Design Glass moderne & Mode TV Lite pour Box 1–2 Go RAM.
• 🧠 Ray AI : Recommandations quotidiennes et films tendance.
• ⚔️ Double Moteur : ExoPlayer (Décodage matériel) & MPV Player.
• 📂 Multi-Playlists : M3U et comptes Xtream illimités.
• 💬 Sous-titres OpenSubtitles & Pistes audio multiples.
• ☁️ Sauvegarde & Synchronisation Google Cloud.
• 👨‍👩‍👧‍👦 Multi-Profils & Contrôle Parental sécurisé avec PIN.
• 🛰️ Guide EPG 24h & Événements sportifs en direct.
• 🎛️ Picture-in-Picture (PiP), Audio en arrière-plan et Zoom 400%."
fr-CA,Ray Player: Lecteur IPTV Smart,"Lecteur IPTV M3U & Xtream rapide. Streaming 4K pour Android TV, Box & Mobile!","Ray Player: Lecteur IPTV & M3U Smart est un lecteur multimédia haute performance pour Android TV, Google TV, TV Box, smartphones et tablettes.

Support complet pour M3U, M3U8, Xtream Codes API et XMLTV EPG en qualité 4K/HDR fluide.

🚫 IMPORTANT : L'application ne fournit AUCUN contenu ni chaîne.

✨ FONCTIONNALITÉS PRINCIPALES :
• 🚀 Zapping Instantané : Optimisé pour télécommandes TV (D-Pad).
• 🎨 Design Glass moderne & Mode TV Lite pour Box 1–2 Go RAM.
• 🧠 Ray AI : Recommandations quotidiennes et films tendance.
• ⚔️ Double Moteur : ExoPlayer (Décodage matériel) & MPV Player.
• 📂 Multi-Playlists : M3U et comptes Xtream illimités.
• 💬 Sous-titres OpenSubtitles & Pistes audio multiples.
• ☁️ Sauvegarde & Synchronisation Google Cloud.
• 👨‍👩‍👧‍👦 Multi-Profils & Contrôle Parental sécurisé avec PIN.
• 🛰️ Guide EPG 24h & Événements sportifs en direct.
• 🎛️ Picture-in-Picture (PiP), Audio en arrière-plan et Zoom 400%."
es-ES,Ray Player: Reproductor IPTV,"Reproductor IPTV M3U y Xtream rápido. ¡Streaming 4K en Android TV, Box y Móvil!","Ray Player: Reproductor IPTV y M3U Inteligente es un reproductor multimedia de alto rendimiento para Android TV, Google TV, TV Box, teléfonos y tablets.

Compatible con M3U, M3U8, Xtream Codes API y guía EPG XMLTV en calidad 4K/HDR fluida.

🚫 IMPORTANTE: La app NO incluye canales ni transmisiones.

✨ CARACTERÍSTICAS:
• 🚀 Zapping Instantáneo: Optimizado para mandos de TV (D-Pad).
• 🎨 Diseño Glass & Modo TV Lite para TV Box de 1-2 GB RAM.
• 🧠 Ray AI: Recomendaciones personalizadas y películas en tendencia.
• ⚔️ Doble Motor: ExoPlayer (Aceleración por hardware) y MPV.
• 📂 Gestión de múltiples listas M3U y Xtream.
• 💬 Subtítulos OpenSubtitles y múltiples pistas de audio.
• ☁️ Copia de seguridad y sincronización Google Cloud.
• 👨‍👩‍👧‍👦 Multi-Perfil y Control Parental con PIN de 4 dígitos.
• 🛰️ Guía EPG de 24 horas y eventos deportivos.
• 🎛️ Picture-in-Picture (PiP), audio en segundo plano y zoom 400%."
es-419,Ray Player: Reproductor IPTV,"Reproductor IPTV M3U y Xtream rápido. ¡Streaming 4K en Android TV, Box y Móvil!","Ray Player: Reproductor IPTV y M3U Inteligente es un reproductor multimedia de alto rendimiento para Android TV, Google TV, TV Box, teléfonos y tablets.

Compatible con M3U, M3U8, Xtream Codes API y guía EPG XMLTV en calidad 4K/HDR fluida.

🚫 IMPORTANTE: La app NO incluye canales ni transmisiones.

✨ CARACTERÍSTICAS:
• 🚀 Zapping Instantáneo: Optimizado para mandos de TV (D-Pad).
• 🎨 Diseño Glass & Modo TV Lite para TV Box de 1-2 GB RAM.
• 🧠 Ray AI: Recomendaciones personalizadas y películas en tendencia.
• ⚔️ Doble Motor: ExoPlayer (Aceleración por hardware) y MPV.
• 📂 Gestión de múltiples listas M3U y Xtream.
• 💬 Subtítulos OpenSubtitles y múltiples pistas de audio.
• ☁️ Copia de seguridad y sincronización Google Cloud.
• 👨‍👩‍👧‍👦 Multi-Perfil y Control Parental con PIN de 4 dígitos.
• 🛰️ Guía EPG de 24 horas y eventos deportivos.
• 🎛️ Picture-in-Picture (PiP), audio en segundo plano y zoom 400%."
es-US,Ray Player: Reproductor IPTV,"Reproductor IPTV M3U y Xtream rápido. ¡Streaming 4K en Android TV, Box y Móvil!","Ray Player: Reproductor IPTV y M3U Inteligente es un reproductor multimedia de alto rendimiento para Android TV, Google TV, TV Box, teléfonos y tablets.

Compatible con M3U, M3U8, Xtream Codes API y guía EPG XMLTV en calidad 4K/HDR fluida.

🚫 IMPORTANTE: La app NO incluye canales ni transmisiones.

✨ CARACTERÍSTICAS:
• 🚀 Zapping Instantáneo: Optimizado para mandos de TV (D-Pad).
• 🎨 Diseño Glass & Modo TV Lite para TV Box de 1-2 GB RAM.
• 🧠 Ray AI: Recomendaciones personalizadas y películas en tendencia.
• ⚔️ Doble Motor: ExoPlayer (Aceleración por hardware) y MPV.
• 📂 Gestión de múltiples listas M3U y Xtream.
• 💬 Subtítulos OpenSubtitles y múltiples pistas de audio.
• ☁️ Copia de seguridad y sincronización Google Cloud.
• 👨‍👩‍👧‍👦 Multi-Perfil y Control Parental con PIN de 4 dígitos.
• 🛰️ Guía EPG de 24 horas y eventos deportivos.
• 🎛️ Picture-in-Picture (PiP), audio en segundo plano y zoom 400%."
it-IT,Ray Player: Smart IPTV Player,"Veloce lettore IPTV M3U & Xtream. Streaming 4K per Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player è un lettore multimediale avanzato per Android TV, Google TV, TV Box, smartphone e tablet.

Supporta formati M3U, M3U8, Xtream Codes API ed EPG XMLTV in 4K/HDR fluido.

🚫 IMPORTANTE: L'app NON fornisce canali o contenuti multimediali.

✨ CARATTERISTICHE:
• 🚀 Zapping istantaneo con telecomando (D-Pad).
• 🎨 Design Glass e modalità TV Lite per box 1-2 GB RAM.
• 🧠 Ray AI: Suggerimenti personalizzati e trend.
• ⚔️ Doppio Motore: ExoPlayer (Hardware) e MPV Player.
• 📂 Gestione multi-playlist M3U e Xtream.
• 💬 OpenSubtitles e tracce audio multiple.
• ☁️ Backup e sincronizzazione Google Cloud.
• 👨‍👩‍👧‍👦 Multi-Profilo e Parental Control con PIN.
• 🛰️ Guida EPG 24h e partite in diretta.
• 🎛️ Picture-in-Picture (PiP) e audio in background."
pt-BR,Ray Player: Smart IPTV Player,"Player IPTV M3U & Xtream rápido. Streaming 4K no Android TV, Box e Celular!","Ray Player: Player IPTV e M3U Inteligente é um reprodutor de mídia de alto desempenho para Android TV, Google TV, TV Box, celulares e tablets.

Compatível com M3U, M3U8, Xtream Codes API e XMLTV EPG em 4K/HDR fluido.

🚫 IMPORTANTE: O aplicativo NÃO fornece canais ou transmissões.

✨ DESTAQUES:
• 🚀 Zapping Instantâneo: Otimizado para controle remoto D-Pad e toque.
• 🎨 Interface Glass & Modo TV Lite para TV Box de 1-2 GB RAM.
• 🧠 Ray AI: Recomendações personalizadas e filmes em alta.
• ⚔️ Motor Duplo: ExoPlayer (Hardware) e MPV.
• 📂 Gerenciamento de múltiplas listas M3U e Xtream.
• 💬 Legendas OpenSubtitles e faixas de áudio múltiplas.
• ☁️ Backup e Sincronização Google Cloud.
• 👨‍👩‍👧‍👦 Multi-Perfis e Controle dos Pais com PIN.
• 🛰️ Guia EPG 24 horas e jogos ao vivo.
• 🎛️ Picture-in-Picture (PiP) e áudio em segundo plano."
pt-PT,Ray Player: Smart IPTV Player,"Player IPTV M3U & Xtream rápido. Streaming 4K no Android TV, Box e Celular!","Ray Player: Player IPTV e M3U Inteligente é um reprodutor de mídia de alto desempenho para Android TV, Google TV, TV Box, celulares e tablets.

Compatível com M3U, M3U8, Xtream Codes API e XMLTV EPG em 4K/HDR fluido.

🚫 IMPORTANTE: O aplicativo NÃO fornece canais ou transmissões.

✨ DESTAQUES:
• 🚀 Zapping Instantâneo: Otimizado para controle remoto D-Pad e toque.
• 🎨 Interface Glass & Modo TV Lite para TV Box de 1-2 GB RAM.
• 🧠 Ray AI: Recomendações personalizadas e filmes em alta.
• ⚔️ Motor Duplo: ExoPlayer (Hardware) e MPV.
• 📂 Gerenciamento de múltiplas listas M3U e Xtream.
• 💬 Legendas OpenSubtitles e faixas de áudio múltiplas.
• ☁️ Backup e Sincronização Google Cloud.
• 👨‍👩‍👧‍👦 Multi-Perfis e Controle dos Pais com PIN.
• 🛰️ Guia EPG 24 horas e jogos ao vivo.
• 🎛️ Picture-in-Picture (PiP) e áudio em segundo plano."
ru-RU,Ray Player: Умный IPTV Плеер,"Быстрый M3U & Xtream IPTV плеер. 4K стриминг для Android TV, ТВ-боксов и телефон","Ray Player: Умный IPTV и M3U Плеер — высокопроизводительный медиаплеер для Android TV, Google TV, ТВ-приставок, смартфонов и планшетов.

Поддержка M3U, M3U8, Xtream Codes API и телепрограммы XMLTV EPG в 4K/HDR.

🚫 ВАЖНО: Приложение НЕ содержит каналы или контент.

✨ ГЛАВНЫЕ ПРЕИМУЩЕСТВА:
• 🚀 Мгновенный заппинг: Оптимизировано для пультов ДУ (D-Pad).
• 🎨 Дизайн Glass и режим TV Lite для ТВ-боксов с 1–2 ГБ ОЗУ.
• 🧠 Ray AI: Персональные рекомендации и тренды.
• ⚔️ Двойной движок: ExoPlayer (аппаратное ускорение) и MPV.
• 📂 Управление несколькими плейлистами M3U и Xtream.
• 💬 Поддержка OpenSubtitles и выбор аудиодорожек.
• ☁️ Облачный бэкап и синхронизация Google Cloud.
• 👨‍👩‍👧‍👦 Мультипрофили и родительский контроль с PIN-кодом.
• 🛰️ Телегид EPG на 24 часа и расписание матчей.
• 🎛️ Картинка в картинке (PiP) и фоновый звук."
uk,Ray Player: Умный IPTV Плеер,"Быстрый M3U & Xtream IPTV плеер. 4K стриминг для Android TV, ТВ-боксов и телефон","Ray Player: Умный IPTV и M3U Плеер — высокопроизводительный медиаплеер для Android TV, Google TV, ТВ-приставок, смартфонов и планшетов.

Поддержка M3U, M3U8, Xtream Codes API и телепрограммы XMLTV EPG в 4K/HDR.

🚫 ВАЖНО: Приложение НЕ содержит каналы или контент.

✨ ГЛАВНЫЕ ПРЕИМУЩЕСТВА:
• 🚀 Мгновенный заппинг: Оптимизировано для пультов ДУ (D-Pad).
• 🎨 Дизайн Glass и режим TV Lite для ТВ-боксов с 1–2 ГБ ОЗУ.
• 🧠 Ray AI: Персональные рекомендации и тренды.
• ⚔️ Двойной движок: ExoPlayer (аппаратное ускорение) и MPV.
• 📂 Управление несколькими плейлистами M3U и Xtream.
• 💬 Поддержка OpenSubtitles и выбор аудиодорожек.
• ☁️ Облачный бэкап и синхронизация Google Cloud.
• 👨‍👩‍👧‍👦 Мультипрофили и родительский контроль с PIN-кодом.
• 🛰️ Телегид EPG на 24 часа и расписание матчей.
• 🎛️ Картинка в картинке (PiP) и фоновый звук."
be,Ray Player: Умный IPTV Плеер,"Быстрый M3U & Xtream IPTV плеер. 4K стриминг для Android TV, ТВ-боксов и телефон","Ray Player: Умный IPTV и M3U Плеер — высокопроизводительный медиаплеер для Android TV, Google TV, ТВ-приставок, смартфонов и планшетов.

Поддержка M3U, M3U8, Xtream Codes API и телепрограммы XMLTV EPG в 4K/HDR.

🚫 ВАЖНО: Приложение НЕ содержит каналы или контент.

✨ ГЛАВНЫЕ ПРЕИМУЩЕСТВА:
• 🚀 Мгновенный заппинг: Оптимизировано для пультов ДУ (D-Pad).
• 🎨 Дизайн Glass и режим TV Lite для ТВ-боксов с 1–2 ГБ ОЗУ.
• 🧠 Ray AI: Персональные рекомендации и тренды.
• ⚔️ Двойной движок: ExoPlayer (аппаратное ускорение) и MPV.
• 📂 Управление несколькими плейлистами M3U и Xtream.
• 💬 Поддержка OpenSubtitles и выбор аудиодорожек.
• ☁️ Облачный бэкап и синхронизация Google Cloud.
• 👨‍👩‍👧‍👦 Мультипрофили и родительский контроль с PIN-кодом.
• 🛰️ Телегид EPG на 24 часа и расписание матчей.
• 🎛️ Картинка в картинке (PiP) и фоновый звук."
kk,Ray Player: Умный IPTV Плеер,"Быстрый M3U & Xtream IPTV плеер. 4K стриминг для Android TV, ТВ-боксов и телефон","Ray Player: Умный IPTV и M3U Плеер — высокопроизводительный медиаплеер для Android TV, Google TV, ТВ-приставок, смартфонов и планшетов.

Поддержка M3U, M3U8, Xtream Codes API и телепрограммы XMLTV EPG в 4K/HDR.

🚫 ВАЖНО: Приложение НЕ содержит каналы или контент.

✨ ГЛАВНЫЕ ПРЕИМУЩЕСТВА:
• 🚀 Мгновенный заппинг: Оптимизировано для пультов ДУ (D-Pad).
• 🎨 Дизайн Glass и режим TV Lite для ТВ-боксов с 1–2 ГБ ОЗУ.
• 🧠 Ray AI: Персональные рекомендации и тренды.
• ⚔️ Двойной движок: ExoPlayer (аппаратное ускорение) и MPV.
• 📂 Управление несколькими плейлистами M3U и Xtream.
• 💬 Поддержка OpenSubtitles и выбор аудиодорожек.
• ☁️ Облачный бэкап и синхронизация Google Cloud.
• 👨‍👩‍👧‍👦 Мультипрофили и родительский контроль с PIN-кодом.
• 🛰️ Телегид EPG на 24 часа и расписание матчей.
• 🎛️ Картинка в картинке (PiP) и фоновый звук."
pl-PL,Ray Player: Odtwarzacz IPTV,"Szybki odtwarzacz IPTV M3U i Xtream. Transmisje 4K na Android TV, Box i telefon!","Ray Player: Inteligentny Odtwarzacz IPTV i M3U to nowoczesny odtwarzacz multimedialny dla Android TV, Google TV, TV Boxów, smartfonów i tabletów.

Obsługa list M3U, M3U8, Xtream Codes API oraz XMLTV EPG w jakości 4K/HDR.

🚫 WAŻNE: Aplikacja NIE zawiera żadnych kanałów.

✨ GŁÓWNE CECHY:
• 🚀 Błyskawiczne przełączanie kanałów z pilotem (D-Pad).
• 🎨 Tryb TV Lite dla urządzeń z 1–2 GB RAM.
• 🧠 Silnik Ray AI z rekomendacjami filmów.
• ⚔️ Podwójny silnik: ExoPlayer i MPV.
• ☁️ Kopia zapasowa i synchronizacja Google Cloud.
• 👨‍👩‍👧‍👦 Wiele profili i kontrola rodzicielska z PIN.
• 🛰️ Przewodnik EPG 24h i terminarz meczów.
• 🎛️ Obraz w obrazie (PiP) i dźwięk w tle."
ro,Ray Player: Smart IPTV Player,"Fast M3U & Xtream IPTV player. 4K live streaming for Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player is a high-performance, versatile media player engineered for Android TV, Google TV, TV Boxes, phones, and tablets.

Fully supports M3U, M3U8, Xtream Codes API, and XMLTV EPG formats. Effortlessly stream your legal playlists in crystal-clear 4K/HDR quality.

🚫 IMPORTANT: The app does NOT provide any channels or media. It is strictly a playback tool for users' own legal content.

✨ WHY CHOOSE RAY PLAYER?
• 🚀 Zero Lag & Fast Zapping: Optimized for Android TV remotes (D-Pad) and touchscreens.
• 🎨 Modern Glass UI: Live previews, wallpapers, and a ""TV Lite Mode"" for 1-2GB RAM TV boxes.
• 🧠 Ray AI Recommendations: Daily Mix, Trending Movies, and personalized picks.
• ⚔️ Dual Engine Power: ExoPlayer (Hardware Accelerated) & MPV Player with auto-fallback.

⚙️ POWERFUL FEATURES:
• 📂 Multi-Playlist: Manage unlimited M3U playlists and Xtream accounts; combine sources.
• 🔄 Smart Detection: Converts M3U credentials into stable Xtream architecture.
• 📺 Prefix Cleaner: Cleans country prefixes (TR:, [EN], DE|) while preserving 4K/FHD tags.
• 🎬 Cinematic Info: IMDb ratings, official trailers, cast info, and episode pickers.
• 💬 Subtitles & Audio: OpenSubtitles, external subs, multi-audio tracks, and Dolby Digital.
• ☁️ Google Cloud Backup: Sync playlists, favorites, and settings across all your devices.
• 👨‍👩‍👧‍👦 Multi-Profile & Kids Mode: Separate profiles with child-safe filtering.
• 🔒 Parental Control: 4-digit D-Pad PIN to lock sensitive categories.
• 🛰️ EPG & Sports Calendar: 24h XMLTV program guide, match schedules, and Catch-Up.
• 🎛️ Pro Tools: Picture-in-Picture (PiP), Background Audio, 400% Zoom, and 0.5x-2.0x Speed.
• ⏱️ Sleep Timer & Built-in Network Speed Test.
• 📲 External Player: Launch in VLC or MX Player with a single tap.

📦 SUPPORTED FORMATS:
• Playlists: M3U, M3U8, Xtream Codes API
• Guide: XMLTV EPG
• Engines: ExoPlayer & MPV
• Protocols: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP
• Codecs: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ LEGAL DISCLAIMER:
- No Content: Ray Player does not host, provide, or distribute any media or streams.
- User Responsibility: Users must supply their own authorized content.
- Copyright: We do not endorse unauthorized streaming of copyrighted material."
el-GR,Ray Player: Smart IPTV Player,"Fast M3U & Xtream IPTV player. 4K live streaming for Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player is a high-performance, versatile media player engineered for Android TV, Google TV, TV Boxes, phones, and tablets.

Fully supports M3U, M3U8, Xtream Codes API, and XMLTV EPG formats. Effortlessly stream your legal playlists in crystal-clear 4K/HDR quality.

🚫 IMPORTANT: The app does NOT provide any channels or media. It is strictly a playback tool for users' own legal content.

✨ WHY CHOOSE RAY PLAYER?
• 🚀 Zero Lag & Fast Zapping: Optimized for Android TV remotes (D-Pad) and touchscreens.
• 🎨 Modern Glass UI: Live previews, wallpapers, and a ""TV Lite Mode"" for 1-2GB RAM TV boxes.
• 🧠 Ray AI Recommendations: Daily Mix, Trending Movies, and personalized picks.
• ⚔️ Dual Engine Power: ExoPlayer (Hardware Accelerated) & MPV Player with auto-fallback.

⚙️ POWERFUL FEATURES:
• 📂 Multi-Playlist: Manage unlimited M3U playlists and Xtream accounts; combine sources.
• 🔄 Smart Detection: Converts M3U credentials into stable Xtream architecture.
• 📺 Prefix Cleaner: Cleans country prefixes (TR:, [EN], DE|) while preserving 4K/FHD tags.
• 🎬 Cinematic Info: IMDb ratings, official trailers, cast info, and episode pickers.
• 💬 Subtitles & Audio: OpenSubtitles, external subs, multi-audio tracks, and Dolby Digital.
• ☁️ Google Cloud Backup: Sync playlists, favorites, and settings across all your devices.
• 👨‍👩‍👧‍👦 Multi-Profile & Kids Mode: Separate profiles with child-safe filtering.
• 🔒 Parental Control: 4-digit D-Pad PIN to lock sensitive categories.
• 🛰️ EPG & Sports Calendar: 24h XMLTV program guide, match schedules, and Catch-Up.
• 🎛️ Pro Tools: Picture-in-Picture (PiP), Background Audio, 400% Zoom, and 0.5x-2.0x Speed.
• ⏱️ Sleep Timer & Built-in Network Speed Test.
• 📲 External Player: Launch in VLC or MX Player with a single tap.

📦 SUPPORTED FORMATS:
• Playlists: M3U, M3U8, Xtream Codes API
• Guide: XMLTV EPG
• Engines: ExoPlayer & MPV
• Protocols: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP
• Codecs: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ LEGAL DISCLAIMER:
- No Content: Ray Player does not host, provide, or distribute any media or streams.
- User Responsibility: Users must supply their own authorized content.
- Copyright: We do not endorse unauthorized streaming of copyrighted material."
cs-CZ,Ray Player: Smart IPTV Player,"Fast M3U & Xtream IPTV player. 4K live streaming for Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player is a high-performance, versatile media player engineered for Android TV, Google TV, TV Boxes, phones, and tablets.

Fully supports M3U, M3U8, Xtream Codes API, and XMLTV EPG formats. Effortlessly stream your legal playlists in crystal-clear 4K/HDR quality.

🚫 IMPORTANT: The app does NOT provide any channels or media. It is strictly a playback tool for users' own legal content.

✨ WHY CHOOSE RAY PLAYER?
• 🚀 Zero Lag & Fast Zapping: Optimized for Android TV remotes (D-Pad) and touchscreens.
• 🎨 Modern Glass UI: Live previews, wallpapers, and a ""TV Lite Mode"" for 1-2GB RAM TV boxes.
• 🧠 Ray AI Recommendations: Daily Mix, Trending Movies, and personalized picks.
• ⚔️ Dual Engine Power: ExoPlayer (Hardware Accelerated) & MPV Player with auto-fallback.

⚙️ POWERFUL FEATURES:
• 📂 Multi-Playlist: Manage unlimited M3U playlists and Xtream accounts; combine sources.
• 🔄 Smart Detection: Converts M3U credentials into stable Xtream architecture.
• 📺 Prefix Cleaner: Cleans country prefixes (TR:, [EN], DE|) while preserving 4K/FHD tags.
• 🎬 Cinematic Info: IMDb ratings, official trailers, cast info, and episode pickers.
• 💬 Subtitles & Audio: OpenSubtitles, external subs, multi-audio tracks, and Dolby Digital.
• ☁️ Google Cloud Backup: Sync playlists, favorites, and settings across all your devices.
• 👨‍👩‍👧‍👦 Multi-Profile & Kids Mode: Separate profiles with child-safe filtering.
• 🔒 Parental Control: 4-digit D-Pad PIN to lock sensitive categories.
• 🛰️ EPG & Sports Calendar: 24h XMLTV program guide, match schedules, and Catch-Up.
• 🎛️ Pro Tools: Picture-in-Picture (PiP), Background Audio, 400% Zoom, and 0.5x-2.0x Speed.
• ⏱️ Sleep Timer & Built-in Network Speed Test.
• 📲 External Player: Launch in VLC or MX Player with a single tap.

📦 SUPPORTED FORMATS:
• Playlists: M3U, M3U8, Xtream Codes API
• Guide: XMLTV EPG
• Engines: ExoPlayer & MPV
• Protocols: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP
• Codecs: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ LEGAL DISCLAIMER:
- No Content: Ray Player does not host, provide, or distribute any media or streams.
- User Responsibility: Users must supply their own authorized content.
- Copyright: We do not endorse unauthorized streaming of copyrighted material."
hu-HU,Ray Player: Smart IPTV Player,"Fast M3U & Xtream IPTV player. 4K live streaming for Android TV, Box & Mobile!","Ray Player: Smart IPTV & M3U Media Player is a high-performance, versatile media player engineered for Android TV, Google TV, TV Boxes, phones, and tablets.

Fully supports M3U, M3U8, Xtream Codes API, and XMLTV EPG formats. Effortlessly stream your legal playlists in crystal-clear 4K/HDR quality.

🚫 IMPORTANT: The app does NOT provide any channels or media. It is strictly a playback tool for users' own legal content.

✨ WHY CHOOSE RAY PLAYER?
• 🚀 Zero Lag & Fast Zapping: Optimized for Android TV remotes (D-Pad) and touchscreens.
• 🎨 Modern Glass UI: Live previews, wallpapers, and a ""TV Lite Mode"" for 1-2GB RAM TV boxes.
• 🧠 Ray AI Recommendations: Daily Mix, Trending Movies, and personalized picks.
• ⚔️ Dual Engine Power: ExoPlayer (Hardware Accelerated) & MPV Player with auto-fallback.

⚙️ POWERFUL FEATURES:
• 📂 Multi-Playlist: Manage unlimited M3U playlists and Xtream accounts; combine sources.
• 🔄 Smart Detection: Converts M3U credentials into stable Xtream architecture.
• 📺 Prefix Cleaner: Cleans country prefixes (TR:, [EN], DE|) while preserving 4K/FHD tags.
• 🎬 Cinematic Info: IMDb ratings, official trailers, cast info, and episode pickers.
• 💬 Subtitles & Audio: OpenSubtitles, external subs, multi-audio tracks, and Dolby Digital.
• ☁️ Google Cloud Backup: Sync playlists, favorites, and settings across all your devices.
• 👨‍👩‍👧‍👦 Multi-Profile & Kids Mode: Separate profiles with child-safe filtering.
• 🔒 Parental Control: 4-digit D-Pad PIN to lock sensitive categories.
• 🛰️ EPG & Sports Calendar: 24h XMLTV program guide, match schedules, and Catch-Up.
• 🎛️ Pro Tools: Picture-in-Picture (PiP), Background Audio, 400% Zoom, and 0.5x-2.0x Speed.
• ⏱️ Sleep Timer & Built-in Network Speed Test.
• 📲 External Player: Launch in VLC or MX Player with a single tap.

📦 SUPPORTED FORMATS:
• Playlists: M3U, M3U8, Xtream Codes API
• Guide: XMLTV EPG
• Engines: ExoPlayer & MPV
• Protocols: HLS, MPEG-TS, DASH, HTTP, HTTPS, RTMP
• Codecs: MP4, MKV, AVI, TS, AAC, MP3, AC3, EAC3, DTS

⚖️ LEGAL DISCLAIMER:
- No Content: Ray Player does not host, provide, or distribute any media or streams.
- User Responsibility: Users must supply their own authorized content.
- Copyright: We do not endorse unauthorized streaming of copyrighted material."
bg,Ray Player: Умный IPTV Плеер,"Быстрый M3U & Xtream IPTV плеер. 4K стриминг для Android TV, ТВ-боксов и телефон","Ray Player: Умный IPTV и M3U Плеер — высокопроизводительный медиаплеер для Android TV, Google TV, ТВ-приставок, смартфонов и планшетов.

Поддержка M3U, M3U8, Xtream Codes API и телепрограммы XMLTV EPG в 4K/HDR.

🚫 ВАЖНО: Приложение НЕ содержит каналы или контент.

✨ ГЛАВНЫЕ ПРЕИМУЩЕСТВА:
• 🚀 Мгновенный заппинг: Оптимизировано для пультов ДУ (D-Pad).
• 🎨 Дизайн Glass и режим TV Lite для ТВ-боксов с 1–2 ГБ ОЗУ.
• 🧠 Ray AI: Персональные рекомендации и тренды.
• ⚔️ Двойной движок: ExoPlayer (аппаратное ускорение) и MPV.
• 📂 Управление несколькими плейлистами M3U и Xtream.
• 💬 Поддержка OpenSubtitles и выбор аудиодорожек.
• ☁️ Облачный бэкап и синхронизация Google Cloud.
• 👨‍👩‍👧‍👦 Мультипрофили и родительский контроль с PIN-кодом.
• 🛰️ Телегид EPG на 24 часа и расписание матчей.
• 🎛️ Картинка в картинке (PiP) и фоновый звук."
